HEADING,BODY,CATEGORY
Rajnath Singh: People who make musical.ly videos will be given preference for a job as they require it badly,"New Delhi: Launched in 2014, musical.ly’s popularity has been increasing ever since. The app allows users to create videos of their choice using various filters and speed options. It hasn’t even been a year since musical.ly was launched in India and it already has more than 15 million registered users. Youngsters are spending so much time on the app that they don’t care whether they need a structured career or a job. The types of videos doing the rounds make one believe that they are shot by people having too much time on their hands.
But every negative aspect comes up with a blessing in disguise. The musicaly.ly registration number is helping the government to find out the unemployment rate in India and to track its behavior. From lip-syncing, vines, to dancing, stand-up comedy, and makeup videos, musical.ly has a huge pool of talent. Govt now wants to use the database to make sure that a person is actually jobless before granting him a mainstream govt job. The new process would demand the fresher candidate to show 2-3 videos recorded on the Musical.ly app to prove that currently he/she is not working anywhere else and are in a true sense the jobless community of India.
It appears that Musical.ly is to the Gen Z what YouTube was to the Gen Y. Even though the most common age group on Musical.ly is 12-25, it is not limited to that. Aged people are also making videos and they should keep making them in fact, because based on the latest government decision, they can, in fact, apply for the role of a fresher for any government vacancy. Musical.ly will soon become the Aadhar card of the job market. Show videos and take a job.",INDIA
Bartender hired by Petrol Station to meet demand for 30 ml and 60 ml petrol by consumers,"Mumbai: A petrol station in Chembur has replaced all its regular staff with bartenders from nearby bars. This has been done after several consumers came asking for really small amount of petrol from the pump operators. With demand dropping to 30 ml and 60 ml, the owner decided that bartenders will be better suited to meet this demand thanks to their expertise in measuring those amounts.
Speaking to Faking News outside his petrol pump, the owner Mr. Telaram said, “With petrol prices crossing 91, people could no longer afford to buy petrol in bulk so they started asking for smaller and smaller amounts. Now the situation is such that they are asking for petrol in millilitres and our machine is not equipped to measure amounts that small. We asked our employees to measure 30-60 ml by hand and give but they always ended up giving more petrol than what the consumer asked for. This was causing a lot of loss for me and I had to find people who can measure millilitres perfectly.”
“Upset with the losses, I went to a bar nearby and that is when this great idea struck me. I saw the bartender pouring exactly 60 ml without even measuring it and I knew he is the solution to all my problems. I immediately got a few more bartenders on board, paid them more than what they were getting, and now I can meet the exact demand of the consumers,” he went on to add.
When we asked if everyone is asking for these small measures of 30 and 60 ml, Telaram ji said ,”Oh no, not everyone is asking for 30 or 60 ml, there are still some daredevils who ask for Patiala Peg of 90 ml.”
Meanwhile, after hearing this news, the government has decided to levy additional tax on petrol to get it to the same level as alcohol. “Any place employing bartenders has to pay the same amount of tax”, a government official said.",INDIA
Person gets the delivery notification and 100 other messages before the actual purchase on an e-commerce site,"Mumbai: From a buzzword to a current-day reality, e-commerce in India has been experiencing remarkable growth, successfully changing the way people transact. People today can shop literally everywhere within minutes. Though happy with the comfort there are things which make buying an irritating experience, one of them are the alert messages received on the purchase. But Shwetank Srivastava, a Mumbai resident experience something weird on Monday when he just thought of buying a product and received 50 alert messages in no time.
Shwetank had been planning to buy a new phone and on Monday he actually opened the portal of a famous e-commerce site. He started thinking about the features of his new phone, and there you go, he started receiving message after message, which had delivery information, to payment receipt to delivery schedule to the Aadhar number of the delivery guy. So much information, in just 5 minutes. Though he read all the messages, it took him some time to realize that the messages were sent by mistake. E-Commerce companies use strong algorithms to check customer preferences, buying patterns and search analytics. But never did we realize that one day the software will outperform itself. On receiving the complaint from Shwetank, the e-commerce software sent him 20 more alerts mentioning in detail about what they are doing to resolve his issue.
After spending the whole Monday in reading alert messages, Shwetank spent the Tuesday in dealing with another round of alert messages regarding his complaint. Wish we had the same meticulous nature of the e-commerce life in our day to day activities that would have helped us meet all deadlines. Well, as I write this article, I have been receiving some text messages from an e-commerce company saying ‘you won’t face all these problems if you shop with us’.",INDIA
"Gujarati boy opts for higher education, the father gets his DNA test done","In a bizarre incident, a Gujarati father has asked his son to undergo a DNA test only because the son wanted to go for higher education instead of joining the family business. Gujaratis are famous for making money from almost everything that exists and for that matter they do not need any qualification as heredity bestows them with the right skills.
Brijesh Patel (51), a resident of Surat, couldn’t believe his son, Rupesh Patel (23) when he expressed his desire for further studies even after completing graduation. “I am shocked! I didn’t want him to even complete his graduation, yet I let him waste four precious years, and now he wants to waste another two years in some MBA nonsense. Today, I am not only ashamed but also doubtful whether he’s really my son,” said the disturbed father.
Rupesh’s friends who have already joined their father’s businesses are now laughing at Brijesh, who they used to admire because of his skill of making money out of nowhere. His friend, Jignesh shared one anecdote, “Rupesh was in the fourth standard when he got a free subscription of a newspaper through the school library and used it to only sell it later in exchange for money. He started making money when he wasn’t even ten. Why does he need a post-graduation degree then?”",INDIA
Techie who wanted to tune himself for ‘Big Data” project buys a carton box of cigarette packets,"Bengaluru: Techie Prakash Joseph is too excited about the new Big Data project that came his way. He did not want to leave any stone unturned in his preparation to tune himself for the big project.
For his breakfast, lunch and snacks instead of buying a packet, he bought a carton box of cigarette packets and kept it in his car’s dickie.
“After spending five years in bench, I would have taken a project where they ask an IITian to use all his skills to measure whether the margin in the printout has come exactly same as set in the word file”, said Prakash.
Prakash got a project where the final party happens in the client office in Trump land. Seniors have done multiple night outs to bookmark all the sites through google, from where freshly graduated from bench engineers like Prakash have to just copy and paste while ogling at cricinfo highlights
“Only thing in return project seniors expect from us is to accompany them for their four dozen soota breaks they take in a day. Smile and listen to their unlimited gaalis they give to our manager without which our days will feel like a quarter day”, said Prakash.
Prakash’s big obsession in everything has created some issues for his family members. “Yesterday I told him to fill petrol in our car. He has made the tank full, in the process we lost our family savings. Now I am sleeping in the car only, because the wealth inside car is much more than what is inside my house”, said his Papa
Prakash’s mama is also worried with the recent change in his behavior. “Morning I’ll see one dozen eggs are missing from refrigerator, in evening I will see full bottle of Digene bottle is missing. Tang aa gayee hoon mein. Prakash ke papa aur mein uske project manager se baat karne ka plan kiya hai. Either give him some small data project or send him back to bench”.",INDIA
"To cut costs, Yash Raj Films to shoot movie close to Bellandur lake in Bengaluru to recreate Switzerland like snow","For the first time since inception, Yash Raj Films has decided that its next movie will not have any scene shot in Switzerland. Instead the snow capped mountains would be recreated in Bengaluru’s Bellandur lake.
The lake which has been frothing for quite some time now has caught the attention of film makers on several occasions previously but for the first time it will be used as a backdrop for any movie.
Apparently, a team from Yash Raj visited the lake and was left impressed with 10 feet high foam. “With rupee weakening in the global market, shooting at foreign locations has become expensive. Switzerland was out of question for our next movie so we narrowed down on Bellandur lake. And let me tell you, it’s as good as the real Swiss snow. Viewers wont be able to tell the difference,” said a senior YRF executive.
Not just YRF, Hollywood movie productions studios too are scouting for locations around Bellandur lake. Locals residents say they have spotted crew of Marvel studios hanging around the lake, fanning speculations that the next Avengers movie could be shot near the lake.
Bengaluru Municipal Corporation in its press release took credit for the global recognition that the lake is receiving.” Its a tough job to maintain the froth levels in the lake. At times these activists make our job difficult, but our workers are doing their best to ensure that the mountain of foam keeps growing each day,” said a senior official.
The Corporation has plans to promote Bellandur lake as a tourism spot and thereby attract tourists in the state.",INDIA
Ex vacates room of woman's heart after 7 years,"In an unexpected but long awaited turn of events, Woman’s ex finally vacated the room of her heart. In other words, she got over her high school ex boyfriend 7 years after high school ended. On Monday morning, she woke up feeling no feelings whatsoever for the guy she dated for all of 6 months.
Friends report that they didn’t notice any warning signs leading up to the event. They claim, even the degradation of her ex’s social media posting habits into that of an inspirational quote posting baby boomer hadn’t perturbed her.
BFF #2 (name hidden to lend anonymity) informed us, “She kept mentioning him once every few months in conversations, so I knew she was still closely monitoring his activities”. Despite the understandable abandonment of hope, BFF #2 would listen patiently and try to make relevant comments. She now wonders what had lacked in her consolation that it took Woman so long to recover.
Some friends, however, were in a celebratory mood. BFF #1 (name hidden to lend anonymity) wanted to thank the authorities in Woman’s brain, “I’m grateful to the SWAT cell in her brain that swatted her ex out of there. I didn’t think it was going to happen, but they came through.”
Woman’s new friend from her aerial yoga class isn’t very optimistic though. She worries, “Her last two crushes were already in relationships. She now has no other guy to focus her romantic feelings towards. And we all know that having no man in your life isn’t allowed by the laws of physics.”
According to every religious text ever written by single, old, men it is impossible for the room of a woman’s heart to be devoid of a man post puberty. Experts agree, “This is an unprecedented situation. We can now only wait and watch how things pan out.”
Woman’s family and friends are now waiting with bated breath and numerous social media accounts, ready to do a background check on whichever primate Woman lays her eyes upon.",INDIA
When Mahatma Gandhi got up from his Samadhi on his birth anniversary,"India recently celebrated 150th birth anniversary of Mahatma Gandhi. The day of 2nd October 1969.  The whole world remembers his ideas, philosophy of his life, ethics & his experiments on truth. In fact,this day is celebrated as International day of non-violence. However, the western world is deeply studying his philosophy of life. They are the real admirer of his life. Anyhow, they have the great respect for him.
But, few of the Indian people abuse him. It’s because they are ignorant. The people of Pakistan also abuse him. They say, he was Hindu leader. Because, these people have not dived into the life of Gandhi. Really, he was not in favor of two nation theory.  The Indian people accepts an idea or a fact only when it is accepted by the west. Therefore, it seems that the Indians are now trying to accept his philosophy.
Mahatma Gandhi gets up from his Samadhi.
Mahatma accompanies his friend, Anna Hazare. Says, Anna, you are my friend. However, I wish to see my India.
The Indian Parliament.
All members of Lok – Sabha are celebrating. They are happy. Bapu inquires, why are they celebrating? Anna says, Bapu, thirty percent of the members are having criminal background. Some, yet to be prosecuted. The Supreme Court denies to make any law regarding this. Thus, the court ask them to make such law themselves. Therefore, they are happy with the verdict. Besides that, Bapu, 80 percent of them are rich persons & enjoying the luxurious.
Anna adds. At the time of elections, there is horse trading. There is no morality & ideology. They change the party every now & than. For money & for the post.Of course, sometimes votes are en-cashed.
Few of the leaders may be doing well. Only, few have the moral values. They are less in numbers.
The most remarkable verdict of the court.
Bapu, a great decision by the court. The Supreme Court judge say, there is nothing wrong in extra marital affair or relationships.Illegal relationships are now legal!
Mahatma’s Reaction.
Gandhi is now angry. He is furious. What about our culture? Our society? What about our reach heritage? Thus,he runs towards his Samadhi. Says, Anna do something, if you can. I do not want to stay here.
Anna cannot decide anything. Because, there are number of problems. Where to start. Someone may once again make use Anna to become a political leader.",INDIA
Who should pay for destination wedding?,"After giving out commendable judgements in a series of important cases, the apex court has before it yet another crucial case. The question that is keeping thousands of millennials in guessing game is “Who pays for the travel arrangements in a destination wedding”? Is your inviter your sponsor or do you split the expenses? If you split then in what percentage and is GST split too? The case acquired a newly found importance after hundreds of weddings ended up souring more relations than creating new ones. While initially the matter was being resolved with mutual consensus, the lack of clear directive is leading to escalating chaos. On one side are hundreds of relatives, silent but grumpier with every phone call, waiting for their travel bills to be reimbursed. On other hand are wedding sponsors who, much to their shock and surprise, find themselves sponsoring much more.
In a historical Inviter vs Invitee 2018 case, the court will pronounce its verdict to an otherwise empty courtroom which will be live streamed to record number of viewers online. The case will reviewed by a bench consisting of 22 members after two of the judges were found to have conflict of interest. A few involved parties were available to express their grievances. One of the relatives said “we had to book expensive tickets on such short notice. When there was no formal expression of reimbursement, we thought it will be covered with baraat pithiya”. “However that amount was not enough even for the ride to airport”, he fumed.
Meanwhile the wedding sponsors too had their share of complains. ”With all these expenses of pre wedding shoots and arrangements in such remote places, we hoped relatives will support us financially. However their response was quite opposite. One of them put his travel bills and UPI id in the envelope handed to bride”. The case is also unique considering the breadth of judgements it has to give. Apart from the conventional inviter vs invitee, it has to settle expense distribution between bride and groom’s family and in some instances between the groom and his family. Although less severe, there are requests to give similar financial guidelines for bachelor party.
Considering how well the court has given judgements in matters of public interest in the past, everyone is expecting a sound fiscal strategy. The finance ministry could take a cue from it considering the circumstances.",INDIA
BBMP to help ISRO with Chandrayaan 2 rover,"Bangalore: In 2008, ten year ago, ISRO had momentous success in sending a mission to the Moon. The Chandrayaan-1 lead to discovery of water on Moon and catapulted ISRO to an elite club of space exploring nations. Now ISRO is all set to sent Chandrayaan-2. This mission will comprise of an orbiter, like before, and a lander with a rover, unlike before. There is a lot at stake for ISRO. Especially because ISRO was successful in Moon or Mars missions in the first attempt. The orbiter is not new for ISRO but the rover is a new device and there lies the risk of failure, an insider told PhonyReporter in an interview.
BBMP’s Role
Bruhat Bengaluru Mahanagar Palike (BBMP) the municipal corporation of Bangalore has agreed to help. The BBMP has dug up the entire city to create Moon like terrain. This will allow ISRO to reliably and cost effectively test the rover’s performance. ISRO officials said that they are quite excited about the idea, they thanked BBMP for this great help and began testing the rover. Experiment reports have shown positive outcome. The rover was able to identify all the garbage lying on roads distinctively. ISRO is happy about the findings. But they say that more experiments are required before we certify the rover. They have praised BBMP for being so innovative and proactive.
Common People of Bangalore
The condition of roads had agitated common people of Bangalore. In the midst of high fuel prices, bad roads make it more expensive to commute to office. However, after learning about the real reason, people were very happy. Ever since the real reason was revealed there have been smiles all over the city. There have been reports that people said, “If our Jawans (soldier) can fight at the border then we can tolerate this inconvenience for our country”.
Even though this is such a patriotic move some irrational individuals are still asking for better roads. These individuals fail to see the big picture and act as a barrier on the path of development.",INDIA
"Presentation के दौरान ""Can you please go back to previous slide ?"" नहीं पूछे जाने पर employee ने किया सुसाइड","बेंगलुरु. भारतीय Silicon Valley कहे जाने वाले इस शहर में लोगो का Microsoft PowerPoint से रिश्ता देखते ही बनता है, जहाँ Boss को अपनी बीवी की शकल से ज्यादा employees की पीपीटी देख के सुकून मिलता है | पर कल कुछ ऐसा हुआ जिसे हर आईटी employee एक बुरा सपना सोच कर भूल जाना चाहता है|
28 वर्षीय छगन ने ऑफिस के presentation में “Can you please go back to previous slide” ना पूछे जाने पर सुसाइड कर लिया | सूत्रों के अनुसार छगन ने काफी मेहनत से अपना लम्बा वीकेंड बर्बाद कर ये presentation तैयार किया था वो भी बिना गूगल का इस्तेमाल किये | जब सोमवार सुबह छगन मीटिंग रूम में घुसा तो काफी कॉंफिडेंट था हमेशा की तरह | Presentation थोड़ी देर से शुरू हुआ क्युकी बॉस को आने में थोड़ा विलम्भ था, अपना Access कार्ड घर भूल आये थे | रूम में लगभग 7 से 8 लोग थे और सभी ध्यान से छगन को सुन रहे थे | शुरू के कुछ मिनट्स तक तो ठीक था, छगन काफी कुशलता पूर्वक slides समझाते जा रहा था | उसे झटका suttaa break में लगा जब Srinivasan ने याद दिलाया की – “भाई,presentation में अभी तक बैक बटन use ही नहीं हुई ” |
Break के बाद छगन के चेहरे पे अब दबाव साफ़ नज़र आ रहा था | पर उसने हिम्मत से साथ presentation ज़ारी रखा इस उम्मीद में की कोई न कोई तो Previous Slide पूछेगा | पर ऐसा नहीं हुआ, 45 मिनट्स तक चली इस presentation के बाद छगन पसीने से लथ पथ हो चूका था | रूम के बाहर चारो तरफ लोग खुसुर फुसुर कर रहे थे | छगन ने बिना किसी से बात किये लैपटॉप उठाया और घर चला गया | अब उसका खुद पर से भरोसा उठ रहा था की ऐसा गलत कर दिया मैंने presentation में एक ने भी नहीं टोका | क्या मैंने font साइज सही रखा था? graphs में कलर ज्यादा हो गए थे ? क्या मेरे appraisal पे फर्क पड़ेगा ? ये सब खयालो से परेशान वो बालकनी की तरफ बड़ा पर फिर एहसास हुआ की उसका पहला फ्लोर ही था और वापस अंदर आ गया | उसे लग रहा था की उस से बड़ा लूज़र कोई नहीं ऑफिस में, अब वो कैसे सबका सामना करेगा | इतना सोचते सोचते उसने अपने ID कार्ड के बेल्ट को पंखे पर डाला और लटक गया |
सुबह पड़ोसियों से पता चला और पुलिस को इन्फॉर्म किया गया, घर वालो को सूचित कर दिया गया है | शोक में कंपनी ने एक दिन का वर्क फ्रॉम होम दे दिया सबको |",INDIA
Family compelled me to buy groceries and vegetables from Reliance Fresh with no option: Son,"New Delhi: Local man has come forward alleging his family of compelling him to buy everything from Reliance Fresh store. Yashjit Patel, 28, confirmed to our reporters, “Yes it is absolute truth. My whole family made me buy all groceries and vegetables from Reliance Fresh store. I tried to buy those thing from somewhere but they wouldn’t allow me to do so.”
Yashjit continued in helpless tone, “It is me who do all the buying stuff for home so I should be able to decide from where to buy. But I am never given such opportunity. There are many other convenience stores nearby our place.
There is D-mart, Spencer’s, Foodworld and many other small retailer shops. But I am categorically asked by my family to choose Reliance Fresh.”
He added with little bit of irritation in voice, “I am a free person and I work as software engineer. My family should give me freedom to shop from anywhere. Why is their love dependent on convenience store from where I buy? Is this true love and free market? I guess it is absolutely not.”
He confined to our reporter like a professional whistleblower, “I think my family has a close family friend in Reliance Fresh working managerial staff. I don’t know full extent of the nexus but there is definitely at least one family friend working in Reliance Fresh.”
When contacted by our reporters, key members of his family denied all allegations. As one member adds, “Yashjit is free person and he is free to buy his apples or spinach or rice or anything else from any shop he wishes. There is no pressure of any kind.”",INDIA
