HEADING,BODY,CATEGORY
bartend|hire|petrol|station|meet|demand|30|ml|60|ml|petrol|consum,mumbai|petrol|station|chembur|replac|regular|staff|bartend|nearbi|bar|done|sever|consum|came|ask|realli|small|amount|petrol|pump|oper|demand|dropp|30|ml|60|ml|owner|decid|bartend|better|suit|meet|demand|thank|expertis|measur|amount|speak|fake|new|outsid|petrol|pump|owner|mr|telaram|said|petrol|price|cross|91|peopl|could|longer|afford|bui|petrol|bulk|start|ask|smaller|smaller|amount|situat|ask|petrol|millilitr|machin|equipp|measur|amount|small|ask|employee|measur|30|60|ml|hand|give|alwai|end|give|petrol|consum|ask|caus|lot|loss|find|peopl|measur|millilitr|perfectli|upset|loss|went|bar|nearbi|great|idea|struck|saw|bartend|pour|exactli|60|ml|without|even|measur|knew|solut|problem|immedi|got|bartend|board|paid|gett|meet|exact|demand|consum|went|add|ask|everyon|ask|small|measur|30|60|ml|telaram|ji|said|oh|everyon|ask|30|60|ml|still|daredevil|ask|patiala|peg|90|ml|meanwhil|hear|new|govern|decid|levi|addit|tax|petrol|get|level|alcohol|place|emploi|bartend|pai|amount|tax|govern|offici|said,INDIA
person|get|deliveri|notif|100|messag|actual|purchas|e|commerc|site,mumbai|buzzword|current|dai|realiti|e|commerc|india|experienc|remark|growth|successfulli|chang|wai|peopl|transact|peopl|todai|shop|liter|everywher|within|minut|though|happi|comfort|thing|make|bui|irritat|experi|on|alert|messag|receiv|purchas|shwetank|srivastava|mumbai|resid|experi|someth|weird|mondai|thought|bui|product|receiv|50|alert|messag|time|shwetank|plann|bui|new|phone|mondai|actual|open|portal|famou|e|commerc|site|start|think|featur|new|phone|go|start|receiv|messag|messag|deliveri|inform|payment|receipt|deliveri|schedul|aadhar|number|deliveri|gui|much|inform|5|minut|though|read|messag|took|time|realiz|messag|sent|mistak|e|commerc|compani|us|strong|algorithm|check|custom|prefer|bui|pattern|search|analyt|never|realiz|on|dai|softwar|outperform|receiv|complaint|shwetank|e|commerc|softwar|sent|20|alert|mention|detail|resolv|issu|spend|whole|mondai|read|alert|messag|shwetank|spent|tuesdai|deal|anoth|round|alert|messag|regard|complaint|wish|meticul|natur|e|commerc|life|dai|dai|activ|would|help|us|meet|deadlin|well|write|articl|receiv|text|messag|e|commerc|compani|sai|face|problem|shop|us,INDIA
gujarati|boi|opt|higher|educ|father|get|dna|test|done,bizarr|incid|gujarati|father|ask|son|undergo|dna|test|son|want|go|higher|educ|instead|join|famili|busi|gujarati|famou|make|monei|almost|everyth|exist|matter|need|qualif|hered|bestow|right|skill|brijesh|patel|51|resid|surat|believ|son|rupesh|patel|23|express|desir|studi|even|complet|graduat|shock|want|even|complet|graduat|yet|let|wast|four|preciou|year|want|wast|anoth|two|year|mba|nonsens|todai|asham|also|doubt|whether|realli|son|said|disturb|father|rupesh|friend|alreadi|join|father|busi|laugh|brijesh|us|admir|skill|make|monei|nowher|friend|jignesh|share|on|anecdot|rupesh|fourth|standard|got|free|subscript|newspap|school|librari|us|sell|later|exchang|monei|start|make|monei|even|ten|need|post|graduat|degre,INDIA
techi|want|tune|big|data|project|bui|carton|box|cigarett|packet,bengaluru|techi|prakash|joseph|excit|new|big|data|project|came|wai|want|leav|stone|unturn|prepar|tune|big|project|breakfast|lunch|snack|instead|bui|packet|bought|carton|box|cigarett|packet|kept|car|dicki|spend|five|year|bench|would|taken|project|ask|iitian|us|skill|measur|whether|margin|printout|come|exactli|set|word|file|said|prakash|prakash|got|project|final|parti|happen|client|offic|trump|land|senior|done|multipl|night|out|bookmark|site|googl|freshli|graduat|bench|engin|like|prakash|copi|past|ogl|cricinfo|highlight|thing|return|project|senior|expect|us|accompani|four|dozen|soota|break|take|dai|smile|listen|unlimit|gaali|give|manag|without|dai|feel|like|quarter|dai|said|prakash|prakash|big|obsess|everyth|creat|issu|famili|member|yesterdai|told|fill|petrol|car|made|tank|full|process|lost|famili|save|sleep|car|wealth|insid|car|much|insid|hous|said|papa|prakash|mama|also|worri|recent|chang|behavior|morn|see|on|dozen|egg|miss|refriger|even|see|full|bottl|digen|bottl|miss|tang|aa|gayee|hoon|mein|prakash|ke|papa|aur|mein|usk|project|manag|se|baat|karn|ka|plan|kiya|hai|either|give|small|data|project|send|back|bench,INDIA
cut|cost|yash|raj|film|shoot|movi|close|bellandur|lake|bengaluru|recreat|switzerland|like|snow,first|time|sinc|incept|yash|raj|film|decid|next|movi|scene|shot|switzerland|instead|snow|capp|mountain|would|recreat|bengaluru|bellandur|lake|lake|froth|quit|time|caught|attent|film|maker|sever|occas|previous|first|time|us|backdrop|movi|appar|team|yash|raj|visit|lake|left|impress|10|feet|high|foam|rupe|weaken|global|market|shoot|foreign|locat|becom|expens|switzerland|question|next|movi|narrow|bellandur|lake|let|tell|good|real|swiss|snow|viewer|abl|tell|differ|said|senior|yrf|execut|yrf|hollywood|movi|product|studio|scout|locat|around|bellandur|lake|local|resid|sai|spott|crew|marvel|studio|hang|around|lake|fann|specul|next|aveng|movi|could|shot|near|lake|bengaluru|municip|corpor|press|releas|took|credit|global|recognit|lake|receiv|tough|job|maintain|froth|level|lake|time|activist|make|job|difficult|worker|best|ensur|mountain|foam|keep|grow|dai|said|senior|offici|corpor|plan|promot|bellandur|lake|tourism|spot|therebi|attract|tourist|state,INDIA
ex|vacat|room|woman|heart|7|year,unexpect|long|await|turn|event|woman|ex|final|vacat|room|heart|word|got|high|school|ex|boyfriend|7|year|high|school|end|mondai|morn|woke|feel|feel|whatsoev|gui|date|6|month|friend|report|notic|warn|sign|lead|event|claim|even|degrad|ex|social|media|post|habit|inspir|quot|post|babi|boomer|perturb|bff|2|name|hidden|lend|anonym|inform|us|kept|mention|everi|month|convers|knew|still|close|monitor|activ|despit|understand|abandon|hope|bff|2|would|listen|patient|try|make|relev|comment|wonder|lack|consol|took|woman|long|recov|friend|howev|celebratori|mood|bff|1|name|hidden|lend|anonym|want|thank|author|woman|brain|grate|swat|cell|brain|swatt|ex|think|go|happen|came|woman|new|friend|aerial|yoga|class|optimist|though|worri|last|two|crush|alreadi|relationship|gui|focu|romant|feel|toward|know|man|life|allow|law|physic|accord|everi|religi|text|ever|written|singl|old|men|imposs|room|woman|heart|devoid|man|post|puberti|expert|agre|unpreced|situat|wait|watch|thing|pan|woman|famili|friend|wait|bate|breath|numer|social|media|account|readi|background|check|whichev|primat|woman|lai|eye|upon,INDIA
mahatma|gandhi|got|samadhi|birth|anniversari,india|recent|celebrat|150th|birth|anniversari|mahatma|gandhi|dai|2nd|octob|1969|whole|world|rememb|idea|philosophi|life|ethic|experi|truth|fact|dai|celebrat|intern|dai|non|violenc|howev|western|world|deepli|studi|philosophi|life|real|admir|life|anyhow|great|respect|indian|peopl|abus|ignor|peopl|pakistan|also|abus|sai|hindu|leader|peopl|dive|life|gandhi|realli|favor|two|nation|theori|indian|peopl|accept|idea|fact|accept|west|therefor|seem|indian|try|accept|philosophi|mahatma|gandhi|get|samadhi|mahatma|accompani|friend|anna|hazar|sai|anna|friend|howev|wish|see|india|indian|parliament|member|lok|sabha|celebrat|happi|bapu|inquir|celebrat|anna|sai|bapu|thirti|percent|member|crimin|background|yet|prosecut|suprem|court|deni|make|law|regard|thu|court|ask|make|law|therefor|happi|verdict|besid|bapu|80|percent|rich|person|enjoi|luxuri|anna|add|time|elect|hors|trade|moral|ideolog|chang|parti|everi|monei|post|cours|sometim|vote|en|cash|leader|mai|well|moral|valu|less|number|remark|verdict|court|bapu|great|decis|court|suprem|court|judg|sai|noth|wrong|extra|marit|affair|relationship|illeg|relationship|legal|mahatma|reaction|gandhi|angri|furiou|cultur|societi|reach|heritag|thu|run|toward|samadhi|sai|anna|someth|want|stai|anna|cannot|decid|anyth|number|problem|start|someon|mai|make|us|anna|becom|polit|leader,INDIA
pai|destin|wedd,give|commend|judgement|seri|import|case|apex|court|yet|anoth|crucial|case|question|keep|thousand|millenni|guess|game|pai|travel|arrang|destin|wedd|invit|sponsor|split|expens|split|percentag|gst|split|case|acquir|newli|found|import|hundr|wedd|end|sour|relat|creat|new|on|initi|matter|resolv|mutual|consensu|lack|clear|direct|lead|escalat|chao|on|side|hundr|rel|silent|grumpier|everi|phone|call|wait|travel|bill|reimburs|hand|wedd|sponsor|much|shock|surpris|find|sponsor|much|histor|invit|vs|invite|2018|case|court|pronounc|verdict|otherwis|empti|courtroom|live|stream|record|number|viewer|onlin|case|review|bench|consist|22|member|two|judg|found|conflict|interest|involv|parti|avail|express|grievanc|on|rel|said|book|expens|ticket|short|notic|formal|express|reimburs|thought|cover|baraat|pithiya|howev|amount|enough|even|ride|airport|fume|meanwhil|wedd|sponsor|share|complain|expens|pre|wedd|shoot|arrang|remot|place|hope|rel|support|us|financi|howev|respons|quit|opposit|on|put|travel|bill|upi|id|envelop|hand|bride|case|also|uniqu|consid|breadth|judgement|give|apart|convent|invit|vs|invite|settl|expens|distribut|bride|groom|famili|instanc|groom|famili|although|less|sever|request|give|similar|financi|guidelin|bachelor|parti|consid|well|court|given|judgement|matter|public|interest|past|everyon|expect|sound|fiscal|strategi|financ|ministri|could|take|cue|consid|circumst,INDIA
bbmp|help|isro|chandrayaan|2|rover,bangalor|2008|ten|year|ago|isro|moment|success|send|mission|moon|chandrayaan|1|lead|discoveri|water|moon|catapult|isro|elit|club|space|explor|nation|isro|set|sent|chandrayaan|2|mission|compris|orbit|like|lander|rover|unlik|lot|stake|isro|especi|isro|success|moon|mar|mission|first|attempt|orbit|new|isro|rover|new|devic|li|risk|failur|insid|told|phonyreporter|interview|bbmp|role|bruhat|bengaluru|mahanagar|palik|bbmp|municip|corpor|bangalor|agre|help|bbmp|dug|entir|citi|creat|moon|like|terrain|allow|isro|reliabl|cost|effect|test|rover|perform|isro|offici|said|quit|excit|idea|thank|bbmp|great|help|began|test|rover|experi|report|shown|posit|outcom|rover|abl|identifi|garbag|ly|road|distinct|isro|happi|find|sai|experi|requir|certifi|rover|prais|bbmp|innov|proactiv|common|peopl|bangalor|condit|road|agitat|common|peopl|bangalor|midst|high|fuel|price|bad|road|make|expens|commut|offic|howev|learn|real|reason|peopl|happi|ever|sinc|real|reason|reveal|smile|citi|report|peopl|said|jawan|soldier|fight|border|toler|inconveni|countri|even|though|patriot|move|irrat|individu|still|ask|better|road|individu|fail|see|big|pictur|act|barrier|path|develop,INDIA
present|pleas|go|back|previou|slide|employee,silicon|vallei|microsoft|powerpoint|boss|employee|employee|28|present|pleas|go|back|previou|slide|present|present|access|7|8|slide|suttaa|break|srinivasan|present|us|break|present|previou|slide|45|present|present|font|graph|apprais|id,INDIA
famili|compel|bui|groceri|veget|relianc|fresh|option|son,new|delhi|local|man|come|forward|alleg|famili|compel|bui|everyth|relianc|fresh|store|yashjit|patel|28|confirm|report|ye|absolut|truth|whole|famili|made|bui|groceri|veget|relianc|fresh|store|tri|bui|thing|somewher|allow|yashjit|continu|helpless|tone|bui|stuff|home|abl|decid|bui|never|given|opportun|mani|conveni|store|nearbi|place|mart|spencer|foodworld|mani|small|retail|shop|categor|ask|famili|choos|relianc|fresh|add|littl|bit|irrit|voic|free|person|work|softwar|engin|famili|give|freedom|shop|anywhere|love|depend|conveni|store|bui|true|love|free|market|guess|absolut|confin|report|like|profession|whistleblow|think|famili|close|famili|friend|relianc|fresh|work|manageri|staff|know|full|extent|nexu|definit|least|on|famili|friend|work|relianc|fresh|contact|report|kei|member|famili|deni|alleg|on|member|add|yashjit|free|person|free|bui|appl|spinach|rice|anyth|els|shop|wish|pressur|kind,INDIA
lion|gir|forest|gujarat|commit|suicid,sourc|sai|14|lion|gir|forest|committ|suicid|lioness|confess|suicid|also|thank|b|b|c|c|n|n|worldwid|coverag|new|sai|reason|suicid|crystal|clear|reason|suicid|lioness|sai|main|culprit|respons|suicid|anim|two|leg|homo|sapien|also|known|man|homo|sapien|danger|greedi|cunn|wick|smart|made|live|miser|therefor|surviv|difficult|thu|add|danger|increas|popul|homo|sapien|due|popul|man|move|toward|forest|area|dai|dai|area|decreas|therefor|move|toward|villag|water|food|therefor|direct|conflict|us|man|man|kill|us|sell|bodi|part|thu|earn|lack|rupe|sometim|catch|us|send|us|citi|jail|call|zoo|thu|live|becom|horribl|well|forest|area|man|dig|well|water|cub|even|elder|fall|well|thu|di|electr|shock|homo|sapien|cunn|man|electr|wire|farm|therefor|famili|di|due|electr|shock|accid|road|territori|much|limit|wick|man|respons|deforest|sometim|move|toward|road|side|roam|cub|di|accid|problem|drink|water|unciviliz|homo|sapien|continu|destroi|natur|water|river|un|clean|contain|carcinogen|chemic|battl|territori|area|limit|therefor|sometim|fight|territori|problem|also|homo|respons|chief|conserv|sai|death|big|cat|due|infect|wrong|realli|suicid|homo|sapien|learn|control|popul|least|us|man|make|fun|us|moreov|sometim|shoot|us|fun|messag|lioness|sai|civiliz|obei|law|natur|law|god|otherwis|prepar|worst,INDIA
new|educ|polici|step|toward|world|class|univers,reliabl|sourc|new|delhi|hrd|minist|prakash|javadekar|announc|new|educ|polici|higher|educ|polici|improv|higher|educ|moreov|also|make|univers|world|class|salient|featur|new|polici|includ|colleg|teacher|wast|time|research|fact|need|research|compar|oxford|uni|teacher|must|encourag|student|particip|activ|therefor|take|maximum|interest|variou|mahostav|navratri|garba|ganesh|mahotsav|durga|puja|etc|therefor|declar|holidai|dai|polici|also|focus|onlin|educ|privat|univers|self|financ|colleg|also|encourag|howev|year|govern|go|convert|institut|privat|sector|appoint|vice|chancellor|chief|minist|monitor|appoint|vice|chancellor|student|teacher|must|remain|present|audienc|function|whenev|need|show|strength|polit|parti|politician|minist|run|self|financ|colleg|prestigi|degre|alreadi|provis|institut|known|smruti|irani|institut|doctor|thu|award|degre|needi|peopl|six|seven|dai|time|addit|start|short|term|cours|award|b|b|com|etc|addit|minist|final|sai|student|fail|examin|duti|teacher|see|teacher|student|present|function|give|big|applaud|welcom|reform|consequ|polici|new|paper|report|sai|candid|degre|ph|e|appli|post|clerk|peon|problem|unemploy|increas|dai|dai|skill|lack,INDIA
beggar|share|aadhaar|number|hope|on|rupe|hacker,ram|sewak|sharma|trai|chief|recent|share|aadhaar|number|twitter|littl|expect|act|would|snowbal|major|controversi|privaci|activist|deplor|move|aadhaar|critic|claim|detail|becom|public|hacker|mischief|mind|sent|on|rupe|account|pai|aadhaar|featur|us|upi|unifi|payment|interfac|app|beggar|bengaluru|mute|spectat|bicker|inspir|99|adult|india|aadhaar|surpris|mr|siraj|khan|beggar|profess|govern|emphasiz|open|jan|dhan|account|poor|siraj|open|account|bank|near|slum|dwell|heard|controversi|share|aadhaar|number|bother|much|dai|controversi|seem|subsid|heard|someth|startl|life|penuri|like|beggar|siraj|live|road|side|begg|food|alm|dai|peopl|benevol|earn|much|150|rupe|rosi|begg|sai|lean|dai|find|difficult|make|end|meet|alwai|dream|lead|comfort|life|stricken|polio|sinc|childhood|right|leg|affect|us|wooden|pole|support|stand|unlett|lead|life|peripheri|want|live|life|digniti|siraj|knew|import|ident|proof|alwai|carri|duplic|copi|aadhaar|help|deal|polic|sai|beggar|like|live|within|confin|four|wall|cannot|expect|comprehend|privaci|meant|heard|peopl|deposit|on|rupe|account|shri|sharma|ji|knew|discov|someth|worthi|dreamt|beg|yet|earn|peopl|modern|begg|aadhaar|time|yet|abl|share|aadhaar|though|sai|on|told|beg|wai|come|novel|wai|share|aadhaar|wai|peopl|would|instantli|get|know|beggar|need|mull|option|decid|get|placard|made|aadhaar|complet|logo|displai|promin|happi|man|aadhaar|critic|hacker|see|placard|leav|empti|hand,INDIA
cow|protest|demand|go|dharna,sourc|sai|cow|ahmedabad|gujarat|indefinit|protest|therefor|cow|gather|public|road|thu|bother|anyth|sai|give|milk|cow|dung|ahmedabad|polic|commission|tension|commission|polic|staff|go|place|dharna|explain|end|agit|site|road|polic|commission|meet|leader|cow|cow|refus|break|agit|moreov|cow|shout|on|voic|sai|go|back|cowboi|meanwhil|hundr|cowboi|cow|owner|gather|road|support|cow|polic|furiou|arrest|cowboi|therefor|situat|tension|chief|minist|interrupt|chief|minist|interrupt|matter|sai|also|cow|fulfil|demand|cow|demand|cow|give|us|clean|space|like|road|dwell|politician|eat|food|thu|happen|politician|creat|issu|heritag|gau|rakshak|respons|disharmoni|societi|happen|addit|must|give|prime|import|us|milk|contain|gold|particl|research|sai|high|court|court|sai|birth|right|cow|roam|anywhere|road|societi|furthermor|accept|demand|peopl|find|wai|drive|safe|yet|without|disturb|cow|new|tv|channel|two|person|gett|injuri|two|bull|fight|road,INDIA
